userID,userPassword,currentAvatar,coins,isTeacher,isDeveloper,inventory,totalScore,lastLevel,teacherID
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
msperanza,password123,1,500,True,True,[0],4000,1,null
mtoldo,123,1,500,TRUE,TRUE,[0],200,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
mlekhi,password,2,1000,False,False,"[0,2,3,4,5]",303,1,msperanza
msperanza,password123,1,500,True,True,[0],6,4000,null
msperanza,password123,1,500,True,True,[0],10,4000,null
msperanza,password123,1,500,True,True,[0],10,3997,null
